rank	ru	en	pos
1815	поража'ть	strike, hit, cause	V
1816	приня'тие	acceptance	Nn
1817	убежда'ться	be convinced, be assured	V
1818	экспе'рт	expert	Nm
1819	совме'стный	joint	A
1820	лиша'ть	deprive	V
1821	характери'стика	specification, letter   of reference	Nf
1822	конце'рт	concert	Nm
1823	дыха'ние	breath	Nn
1824	темнота'	darkness	Nf
1825	региона'льный	regional	A
1826	экспериме'нт	experiment	Nm
1827	аге'нтство	agency	Nn
1828	объединя'ть	unite	V
1829	пи'ща	food	Nf
1830	кре'пкий	strong	A
1831	се'вер	north	Nm
1832	интервью'	interview	Nn
1833	спосо'бствовать	facilitate, encourage, aid	V
1834	поку'пка	shopping, purchase	Nf
1835	сходи'ть	come down, go	V
1836	воспита'ние	upbringing, education	Nn
1837	покрыва'ть	cover	V
1838	Христо'с	Christ	Nm
1839	генера'льный	general	A
1840	сюже'т	plot	Nm
1841	перегово'ры	talks	N-
1842	пого'да	weather	Nf
1843	ограниче'ние	restriction	Nn
1844	тенде'нция	tendency	Nf
1845	досто'йный	worthy, decent	A
1846	прису'тствие	presence	Nn
1847	кита'йский	Chinese	A
1848	выска'зывать	express, voice	V
1849	производи'тель	producer, manufacturer	Nm
1850	шу'тка	joke	Nf
1851	голубо'й	light blue, gay (slang)	A
1852	регистра'ция	registration, check-in	Nf
1853	лётчик	pilot	Nm
1854	молодёжь	youth	Nf
1855	докла'д	report	Nm
1856	везде'	everywhere	P
1857	оконча'ние	ending, termination,  expiration	Nn
1858	си'мвол	symbol, character	Nm
1859	перевести'	translate, transfer, put	V
1860	нужда'ться	be in need	V
1861	кандида'т	candidate	Nm
1862	ата'ка	attack	Nf
1863	кле'тка	cage, cell	Nf
1864	переноси'ть	bear, move, tolerate, undergo	V
1865	сексуа'льный	sexual, sexy	A
1866	включа'я	including	Prep
1867	музыка'льный	music, musical	A
1868	слой	layer	Nm
1869	назначе'ние	appointment, purpose,  order	Nn
1870	поми'мо	besides	Prep
1871	винова'тый	guilty	A
1872	индивидуа'льный	individual	A
1873	сме'на	shift	Nf
1874	положи'тельный	positive	A
1875	парк	park	Nm
1876	ви'дный	visible, prominent	A
1877	тюрьма'	prison	Nf
1878	наблюде'ние	observation	Nn
1879	сле'довательно	hence, consequently	Adv
1880	психологи'ческий	psychological, mental	A
1881	ми'нимум	minimum	Nm
1882	полтора'	one and a half	Num
1883	мя'со	meat	Nn
1884	боле'ть	hurt, be ill, support	V
1885	глу'пый	silly	A
1886	соглаше'ние	agreement	Nn
1887	за'дний	back	A
1888	преиму'щество	advantage	Nn
1889	досту'пный	accessible, affordable	A
1890	осторо'жно	carefully	Adv
1891	ку'ча	pile	Nf
1892	поко'й	peace	Nm
1893	бок	side	Nm
1894	незави'симый	independent	A
1895	дава'й	let us	Part
1896	насчёт	about, regarding	Prep
1897	со'лнечный	solar, sunny	A
1898	тру'дность	difficulty	Nf
1899	объясне'ние	explanation	Nn
1900	факти'чески	practically	Adv
1901	уверя'ть	assure	V
1902	дура'к	fool	Nm
1903	сотру'дничество	cooperation	Nn
1904	повора'чивать	turn	V
1905	фон	background	Nm
1906	конь	horse	Nm
1907	путеше'ствие	travel	Nn
1908	площа'дка	area, site	Nf
1909	че'стный	honest	A
1910	обора'чиваться	turn to, turn out	V
1911	класси'ческий	classic	A
1912	взаимоде'йствие	interaction	Nn
1913	импе'рия	empire	Nf
1914	сомнева'ться	doubt	V
1915	пропуска'ть	leave out, let pass, let  through	V
1916	правосла'вный	Orthodox	A
1917	распространя'ть	spread	V
1918	едини'ца	figure of one, unit	Nf
1919	выта'скивать	pull out	V
1920	исключа'ть	exclude	V
1921	температу'ра	temperature	Nf
1922	пла'тье	dress	Nn
1923	ударя'ть	hit, strike	V
1924	практи'ческий	practical	A
1925	зло	harm, evil	Nn
1926	о'тдых	holiday, rest	Nm
1927	труба'	pipe, chimney	Nf
1928	возража'ть	object	V
1929	воспо'льзоваться	use, take advantage	V
1930	предстоя'ть	be in store, be ahead	V
1931	злой	angry	A
1932	станда'рт	standard	Nm
1933	отчёт	report	Nm
1934	представля'ться	introduce, arise	V
1935	цивилиза'ция	civilization	Nf
1936	пацие'нт	patient	Nm
1937	ста'тус	status	Nm
1938	ма'сло	oil, butter	Nn
1939	прекраща'ть	stop	V
1940	ста'вка	rate	Nf
1941	вина'	fault, guilt	Nf
1942	юриди'ческий	legal, law	A
1943	ре'дкий	rare	A
1944	молоко'	milk	Nn
1945	страсть	passion	Nf
1946	костю'м	suit, costume	Nm
1947	грех	sin	Nm
1948	дворе'ц	palace	Nm
1949	стака'н	glass	Nm
1950	кот	cat (male)	Nm
1951	часы'	clock, watch	N-
1952	неизве'стный	unknown	A
1953	лоб	forehead	Nm
1954	промы'шленность	industry	Nf
1955	спорт	sport	Nm
1956	о'трасль	branch	Nf
1957	юг	south	Nm
1958	взры'в	explosion	Nm
1959	обме'н	exchange	Nm
1960	демокра'тия	democracy	Nf
1961	жаль	pity, sad	Adv
1962	широко'	widely	Adv
1963	заслу'живать	deserve	V
1964	сухо'й	dry	A
1965	суще'ственный	significant	A
1966	стремле'ние	aspiration, urge	Nn
1967	стреля'ть	shoot, fire	V
1968	отка'з	refusal	Nm
1969	забо'та	care, concern	Nf
1970	нож	knife	Nm
1971	осо'бо	particularly	Adv
1972	мо'лча	silently	Adv
1973	отража'ть	reflect, fend off	V
1974	несча'стный	unfortunate	A
1975	де'нежный	money	A
1976	безусло'вно	certainly	Adv
1977	дово'льный	satisfied	A
1978	ваго'н	carriage	Nm
1979	популя'рный	popular	A
1980	мы'шле'ние	thinking	Nn
1981	поли'ция	police	Nf
1982	после'дующий	subsequent	A
1983	разруша'ть	destroy	V
1984	лечь	lie down	V
1985	раскрыва'ть	uncover	V
1986	рассчи'тывать	rely, count, calculate	V
1987	о'круг	constituency, district	Nm
1988	очеви'дный	evident, obvious	A
1989	пятьдеся'т	fifty	Num
1990	вещество'	substance	Nn
1991	продолже'ние	continuation	Nn
1992	управля'ть	manage, operate	V
1993	бла'го	good, amenity	Nn
1994	нефть	oil	Nf
1995	акаде'мия	academy	Nf
1996	сантиме'тр	centimetre	Nm
1997	живо'т	stomach	Nm
1998	карти'нка	picture	Nf
1999	шту'ка	thing, item	Nf
2000	земно'й	earth(’s), terrestrial	A
2001	жёлтый	yellow	A
2002	сло'жно	complex	Adv
2003	суде'бный	judicial	A
2004	возвраще'ние	return	Nn
2005	деревя'нный	wooden	A
2006	образе'ц	sample	Nm
2007	шко'льный	school	A
2008	из-под	from under	Prep
2009	ока'зывать	provide	V
2010	профе'ссия	profession	Nf
2011	затра'ты	expenses	Nf
2012	навсегда'	forever	Adv
2013	гости'ница	hotel	Nf
2014	заболева'ние	disease	Nn
2015	кампа'ния	campaign	Nf
2016	село'	village	Nn
2017	косми'ческий	space	A
2018	повезти'	take, be lucky	V
2019	по'чта	post office, post	Nf
2020	выясня'ться	be established, come to light	V
2021	па'уза	pause	Nf
2022	пала'та	ward, chamber	Nf
2023	засыпа'ть	fall asleep	V
2023	засы'пать	cover	V
2024	креди'т	credit	Nm
2025	суббо'та	Saturday	Nf
2026	заплати'ть	pay	V
2027	полово'й	sexual, genital, floor	A
2028	уве'ренность	confidence	Nf
2029	слу'шатель	listener	Nm
2030	лев	lion	Nm
2031	пря'тать	hide	V
2032	реализо'вывать	realize, implement, sell	V
2033	освобожда'ть	free, set free	V
2034	коллекти'в	group, team	Nm
2035	све'рху	above, on top	Adv
2036	добро'	good	Nn
2037	тро'е	three (people)	Num
2038	уче'ние	teaching	Nn
2039	воскресе'нье	Sunday	Nn
2040	доказа'тельство	proof, evidence	Nn
2041	гря'зный	dirty	A
2042	спрос	demand	Nm
2043	делово'й	business	A
2044	разли'чие	difference	Nn
2045	ко'рень	root	Nm
2046	телефо'нный	telephone	A
2047	пя'тница	Friday	Nf
2048	дожида'ться	wait	V
2049	продаве'ц	retailer, shop assistant	Nm
2050	превраща'ть	turn into, convert	V
2051	комме'рческий	commercial, trade	A
2052	проявля'ться	appear, be manifested	V
2053	удивля'ть	surprise	V
2054	величина'	value, size, amount	Nf
2055	напряже'ние	voltage, strain	Nn
2056	крестья'нин	farm worker	Nm
2057	обяза'тельный	compulsory	A
2058	преподава'тель	teacher	Nm
2059	найти'сь	be found	V
2060	кольцо'	ring, circle	Nn
2061	пойма'ть	catch	V
2062	наверняка'	surely	Adv
2063	подожда'ть	wait	V
2064	доска'	board	Nf
2065	япо'нский	Japanese	A
2066	се'льский	rural, agricultural	A
2067	верши'на	peak	Nf
2068	напро'тив	opposite, on the contrary	Adv
2069	защища'ть	protect	V
2070	предпочита'ть	prefer	V
2071	секре'т	secret	Nm
2072	зака'зывать	order	V
2073	воспринима'ть	perceive, accept	V
2074	эффекти'вность	effectiveness	Nf
2075	иму'щество	property	Nn
2076	строй	system, formation	Nm
2077	ру'чка	pen, handle	Nf
2078	ре'зкий	sharp	A
2079	персона'ж	character	Nm
2080	одина'ковый	same	A
2081	свиде'тельствовать	indicate, show,   give evidence	V
2082	ве'рно	correct(ly), accurate(ly)	Adv
2083	кури'ть	smoke	V
2084	утвержде'ние	approval, assertion	Nn
2085	взя'ться	set to, take, come about, arise	V
2086	понеде'льник	Monday	Nm
2087	стро'гий	strict	A
2088	исключи'тельно	exceptionally,  exclusively, only	Adv
2089	портре'т	portrait	Nm
2090	дыша'ть	breathe	V
2091	поро'г	threshold, doorstep	Nm
2092	противополо'жный	opposite	A
2093	я'дерный	nuclear	A
2094	объедине'ние	association, joining	Nn
2095	остально'е	rest	Nn
2096	оконча'тельно	finally	Adv
2097	се'ктор	sector	Nm
2098	гуля'ть	walk	V
2099	приложе'ние	supplement, attachment,  application	Nn
2100	подро'бность	detail	Nf
2101	окружа'ющий	surrounding	A
2102	попада'ться	occur, come about, get  caught	V
2103	луч	ray	Nm
2104	привы'чка	habit	Nf
2105	пре'сса	press	Nf
2106	эмо'ция	emotion	Nf
2107	уника'льный	unique	A
2108	испыта'ние	test	Nn
2109	разбива'ть	break	V
2110	восприя'тие	perception	Nn
2111	де'вять	nine	Num
2112	лейтена'нт	lieutenant	Nm
2113	наступле'ние	onset, coming, offensive,  attack	Nn
2114	актёр	actor	Nm
2115	тра'нспорт	transport	Nm
2116	издава'ть	publish	V
2117	рекла'мный	advertising	A
2118	хвост	tail	Nm
2119	возду'шный	air	A
2120	серьёзно	seriously	Adv
2121	заводи'ть	start, keep, have (animals)	V
2122	свиде'тель	witness	Nm
2123	килогра'мм	kilogram	Nm
2124	ощуща'ть	feel, sense	V
2125	тяну'ть	pull	V
2126	уголо'вный	criminal	A
2127	удивле'ние	surprise	Nn
2128	экза'мен	exam	Nm
2129	прия'тно	nice	Adv
2130	ка'менный	stone	A
2131	одева'ть	dress	V
2132	цикл	cycle	Nm
2133	евре'йский	Jewish	A
2134	ме'неджер	manager	Nm
2135	су'мка	bag	Nf
2136	на'дпись	inscription	Nf
2137	восклица'ть	exclaim	V
2138	зо'лото	gold	Nn
2139	сигаре'та	cigarette	Nf
2140	успе'шный	successful	A
2141	нема'ло	many	Adv
2142	приро'дный	natural	A
2143	цита'та	quotation, citation	Nf
2144	полоса'	stripe, lane	Nf
2145	о'блако	cloud	Nn
2146	взро'слый	adult	N-
2147	ре'йтинг	rating	Nm
2148	похо'д	hike	Nm
2149	таково'й	such	P
2150	указа'ние	instruction, indication	Nn
2151	веду'щий	leading	N-
2152	како'й-нибудь	any, some	P
2153	разу'мный	sensible, reasonable	A
2154	том	volume	Nm
2155	владе'ть	own, master	V
2156	посту'пок	deed	Nm
2157	па'мятник	monument	Nm
2158	атмосфе'ра	atmosphere	Nf
2159	спо'рить	dispute	V
2160	охва'тывать	cover, affect	V
2161	применя'ть	apply, use	V
2162	случа'йный	random, chance	A
2163	восстана'вливать	restore, replace	V
2164	определя'ться	be determined	V
2165	о'фис	office	Nm
2166	проявле'ние	show, manifestation	Nn
2167	на'ция	nation	Nf
2168	телеви'дение	television	Nn
2169	вслед	then, after this	Adv
2170	осуществля'ть	implement, carry out	V
2171	инвести'ция	investment	Nf
2172	относи'ть	carry away	V
2173	акти'вно	active(ly)	Adv
2174	инжене'р	engineer	Nm
2175	знако'мство	acquaintance	Nn
2176	дневни'к	diary, record book	Nm
2177	успе'шно	successfully	Adv
2178	уде'рживать	hold back	V
2179	запомина'ть	remember	V
2180	теку'щий	current	A
2181	повыша'ть	raise, increase	V
2182	Петербу'рг	St Petersburg	Nm
2183	неприя'тный	unpleasant	A
2184	стро'го	strict(ly)	Adv
2185	влия'ть	influence, affect	V
2186	аспе'кт	aspect	Nm
2187	бе'гать	run	V
2188	оста'ток	rest, remains	Nm
2189	кно'пка	button	Nf
2190	сде'лка	deal	Nf
2191	спорти'вный	sport, sporting	A
2192	режиссёр	director	Nm
2193	програ'ммный	software	A
2194	океа'н	ocean	Nm
2195	правово'й	legal	A
2196	оте'ль	hotel	Nm
2197	вынужда'ть	force	V
2198	нало'говый	tax	A
2199	ба'ба	woman	Nf
2200	скрыва'ть	hide	V
2201	распростране'ние	dissemination,  spreading, distribution	Nn
2202	секрета'рь	secretary	Nm
2203	мгнове'ние	moment	Nn
2204	посети'тель	visitor	Nm
2205	архи'в	archive	Nm
2206	сохране'ние	conservation, preservation	Nn
2207	отсу'тствовать	be absent	V
2208	пья'ный	drunk	N-
2209	вкла'дывать	invest, put in	V
2210	конча'ть	finish	V
2211	бо'льно	painfully	Adv
2212	импера'тор	emperor	Nm
2213	вселе'нная	universe	Nf
2214	СМИ	mass media	N-
2215	губерна'тор	governor	Nm
2216	заполня'ть	fill	V
2217	уме'ние	skill	Nn
2218	твёрдый	hard, firm	A
2219	ста'дия	stage	Nf
2220	инициати'ва	initiative	Nf
2221	призна'ние	recognition, confession	Nn
2222	масшта'б	scale	Nm
2223	ремо'нт	repair, renovation	Nm
2224	вон	there	Part
2225	терпе'ть	endure, tolerate	V
2226	пятна'дцать	fifteen	Num
2227	намно'го	much	Adv
2228	ле'тний	summer	A
2229	дым	smoke	Nm
2230	та'нец	dance, dancing	Nm
2231	распоряже'ние	order, instruction	Nn
2232	ра'доваться	be glad, rejoice	V
2233	ле'кция	lecture	Nf
2234	опла'та	payment	Nf
2235	вероя'тность	probability	Nf
2236	щека'	cheek	Nf
2237	пара'метр	parameter	Nm
2238	аге'нт	agent	Nm
2239	интеллектуа'льный	intelligent	A
2240	согла'сие	consent	Nn
2241	рубе'ж	border, mark	Nm
2242	коро'бка	box	Nf
2243	крите'рий	criterion	Nm
2244	скла'дывать	fold, stack, sum up, put  (together)	V
2245	ма'рка	stamp, brand	Nf
2246	происхожде'ние	origin	Nn
2247	смешно'й	funny	A
2248	абсолю'тный	absolute, complete	A
2249	прия'тель	friend	Nm
2250	уго'дно	you like, you want	Part
2251	пу'блика	crowd, public	Nf
2252	вуз	institution of higher education	Nm
2253	рекомендова'ть	recommend	V
2254	моли'тва	prayer	Nf
2255	опуска'ться	lower	V
2256	бесконе'чный	endless, very long	A
2257	се'рвер	server	Nm
2258	метро'	Metro, underground	Nn
2259	нажима'ть	press, click	V
2260	подбира'ть	pick up, match together	V
2261	эфи'р	air, ether	Nm
2262	табли'ца	table	Nf
2263	ю'ный	young	A
2264	ненави'деть	hate	V
2265	сопротивле'ние	resistance	Nn
2266	ой	oh, ouch	I
2267	удовлетворя'ть	satisfy	V
2268	длина'	length	Nf
2269	кри'тика	criticism	Nf
2270	уда'ча	luck	Nf
2271	дру'жба	friendship	Nf
2272	наме'рение	intention	Nn
2273	преодолева'ть	overcome, go beyond	V
2274	крест	cross	Nm
2275	сниже'ние	reduction, descent	Nn
2276	сбор	collection, fee	Nm
2277	неожи'данный	unexpected	A
2278	протяже'ние	course, extent	Nn
2279	выража'ться	be expressed, be	V
2280	у'жин	dinner	Nm
2281	колесо'	wheel	Nn
2282	отли'чно	excellent(ly), very well	Adv
2283	дви'гатель	engine	Nm
2284	отводи'ть	bring, take	V
2285	переме'на	change, break	Nf
2286	тала'нт	talent	Nm
2287	дли'тельный	long	A
2288	приве'т	hi, regards	Nm
2289	плани'ровать	plan	V
2290	предпринима'ть	undertake, take	V
2291	подска'зывать	prompt, tell	V
2292	диску'ссия	discussion	Nf
2293	го'лый	naked	A
2294	доводи'ть	lead to, take to	V
2295	свяще'нник	priest	Nm
2296	ми'рный	peace, peaceful	A
2297	поворо'т	turn, bend	Nm
2298	пережива'ть	experience, worry	V
2299	труп	corpse, (dead) body	Nm
2300	сочине'ние	composition, essay	Nn
2301	упражне'ние	exercise	Nn
2302	наказа'ние	punishment	Nn
2303	автома'т	machine, machine gun,  payphone	Nm
2304	зверь	beast, animal	Nm
2305	ю'ноша	youth, young boy	Nm
2306	стратеги'ческий	strategic	A
2307	мора'льный	moral	A
2308	чрезвыча'йно	extremely	Adv
2309	приближа'ться	approach	V
2310	ны'не	now, at present	Adv
2311	моби'льный	mobile	A
2312	семина'р	seminar	Nm
2313	образо'вывать	form, educate, teach	V
2314	осуществля'ться	be implemented	V
2315	загова'ривать	start speaking,   cast a spell	V
2316	трудово'й	labour	A
2317	дива'н	sofa	Nm
2318	непоня'тный	incomprehensible	A
2319	нарко'тик	drug	Nm
2320	меч	sword	Nm
2321	сло'жность	complexity, complication	Nf
2322	мешо'к	bag	Nm
2323	шепта'ть	whisper	V
2324	со'весть	conscience	Nf
2325	наве'рно	probably	Adv
2326	куда'-то	somewhere	P
2327	областно'й	regional	A
2328	пре'мия	prize	Nf
2329	пассажи'р	passenger	Nm
2330	поэ'зия	poetry	Nf
2331	доста'точный	sufficient	A
2332	обрабо'тка	processing, treatment	Nf
2333	психоло'гия	psychology	Nf
2334	жильё	accommodation	Nn
2335	код	code	Nm
2336	обма'нывать	deceive, cheat	V
2337	увы'	alas	I
2338	успока'иваться	calm down	V
2339	ры'ночный	market	A
2340	помо'щник	assistant	Nm
2341	корми'ть	feed	V
2342	контроли'ровать	control, monitor	V
2343	Ита'лия	Italy	Nf
2344	экипа'ж	crew	Nm
2345	сцена'рий	scenario, film script	Nm
2346	сбива'ть	knock down	V
2347	лёд	ice	Nm
2348	проника'ть	penetrate, infiltrate	V
2349	предпринима'тель	entrepreneur	Nm
2350	ассоциа'ция	association	Nf
2351	спекта'кль	performance, play	Nm
2352	кра'ска	paint	Nf
2353	поздравля'ть	congratulate	V
2354	раке'та	rocket	Nf
2355	выставля'ть	show, put forward	V
2356	постановле'ние	decree, act	Nn
2357	пожима'ть	press, shake (hands)	V
2358	жени'ться	marry	V
2359	зря	in vain	Adv
2360	свиде'тельство	certificate	Nn
2361	потоло'к	ceiling	Nm
2362	аудито'рия	lecture theatre, audience	Nf
2363	песо'к	sand	Nm
2364	излага'ть	report, give an account	V
2365	грязь	dirt	Nf
2366	тща'тельно	meticulously	Adv
2367	регистри'ровать	register	V
2368	а'нгел	angel	Nm
2369	монасты'рь	monastery, cloister	Nm
2370	огля'дываться	look back, look round	V
2371	привы'чный	habitual, usual, used	A
2372	анекдо'т	anecdote, joke	Nm
2373	выезжа'ть	leave	V
2374	маршру'т	route	Nm
2375	о'тпуск	holiday	Nm
2376	необы'чный	unusual	A
2377	соо'бщество	community	Nn
2378	обходи'ть	bypass, walk around	V
2379	проче'сть	read	V
2380	пыль	dust	Nf
2381	предназна'ченный	design, designate,  intend	V
2382	демократи'ческий	democratic	A
2383	заде'рживать	delay, hold up	V
2384	идеа'льный	ideal	A
2385	чёткий	precise	A
2386	паде'ние	fall	Nn
2387	беспла'тный	free	A
2388	расте'ние	plant	Nn
2389	обнима'ть	hug	V
2390	аргуме'нт	argument	Nm
2391	введе'ние	introduction	Nn
2392	никуда'	nowhere, anywhere	P
2393	бое'ц	fighter	Nm
2394	ткань	cloth	Nf
2395	уступа'ть	give up	V
2396	заверша'ть	complete	V
2397	нужда'	need	Nf
2398	го'рло	throat	Nn
2399	до'чка	daughter	Nf
2400	убега'ть	run	V
2401	кость	bone	Nf
2402	сто'лик	table	Nm
2403	научи'ть	teach	V
2404	не'жный	tender	A
2405	яйцо'	egg	Nn
2406	склад	warehouse	Nm
2407	темп	tempo, pace	Nm
2408	наполня'ть	fill	V
2409	обознача'ть	stand for, mean	V
2410	запуска'ть	neglect, let	V
2411	брита'нский	British	A
2412	запро'с	request	Nm
2413	адвока'т	lawyer	Nm
2414	существу'ющий	existing, current	A
2415	форма'т	format	Nm
2416	съесть	eat up	V
2417	о'пытный	experienced	A
2418	пистоле'т	pistol	Nm
2419	промы'шленный	industrial	A
2420	подро'сток	teenager	Nm
2421	бо'мба	bomb	Nf
2422	тра'тить	spend	V
2423	ухо'д	leaving, care	Nm
2424	навстре'чу	towards	Adv
2425	заведе'ние	place, establishment	Nn
2426	социа'льно	socially	Adv
2427	ба'шня	tower	Nf
2428	го'ре	grief, misfortune	Nn
2429	хозя'йка	hostess, owner	Nf
2430	на'вык	skill	Nm
2431	бога'тство	wealth	Nn
2432	верхо'вный	supreme, high	A
2433	пона'добиться	need	V
2434	уважа'ть	respect	V
2435	пораже'ние	defeat, impairment, lesion	Nn
2436	подразделе'ние	unit	Nn
2437	моти'в	motive, tune	Nm
2438	подводи'ть	bring closer, let down	V
2439	туале'т	toilet, lavatory	Nm
2440	ба'нка	jar	Nf
2441	остано'вка	stop	Nf
2442	трево'га	anxiety	Nf
2443	оборо'т	turnover, turn, circulation	Nm
2444	жесто'кий	cruel	A
2445	дрожа'ть	tremble	V
2446	кре'пко	firmly	Adv
2447	порт	port	Nm
2448	су'дно	ship, vessel, chamber pot	Nn
2449	до'рого	expensive	Adv
2450	самостоя'тельно	independent(ly),   by oneself	Adv
2451	плод	fruit	Nm
2452	бли'зко	near, close	Adv
2453	администрати'вный	administrative	A
2454	впосле'дствии	subsequently	Adv
2455	борт	side, board	Nm
2456	па'хнуть	smell	V
2457	соедине'ние	connection	Nn
2458	контра'кт	contract	Nm
2459	сва'дьба	wedding	Nf
2460	дове'рие	trust	Nn
2461	диало'г	dialogue	Nm
2462	тума'н	fog	Nm
2463	восто'рг	delight	Nm
2464	слы'шаться	be heard	V
2465	прибо'р	device	Nm
2466	то'чность	precision	Nf
2467	внизу'	below	Adv
2468	приступа'ть	set to, proceed	V
2469	девчо'нка	young girl	Nf
2470	та'йный	secret	A
2471	персона'л	staff	Nm
2472	ка'чественный	quality	A
2473	молча'ние	silence	Nn
2474	мальчи'шка	small boy	Nm
2475	маха'ть	wave	V
2476	побежа'ть	run	V
2477	очки'	glasses	N-
2478	осо'бенный	special	A
2479	расстава'ться	part, separate	V
2480	конститу'ция	constitution	Nf
2481	развива'ть	develop	V
2482	обрета'ть	find	V
2483	ко'декс	code	Nm
2484	опера'тор	operator	Nm
2485	бере'менность	pregnancy	Nf
2486	майо'р	major	Nm
2487	избира'ть	elect	V
2488	аналоги'чный	similar	A
2489	иссле'дователь	researcher	Nm
2490	францу'з	Frenchman	Nm
2491	за'муж	marry	Adv
2492	препара'т	drug	Nm
2493	храни'ть	keep	V
2494	игру'шка	toy	Nf
2495	ве'село	merrily	Adv
2496	повторя'ться	repeat	V
2497	констру'кция	construction, design	Nf
2498	самостоя'тельный	independent	A
2499	сезо'н	season	Nm
2500	фо'рмула	formula	Nf
2501	надоеда'ть	bother	V
2502	рассмотре'ние	review, inspection	Nn
2503	посади'ть	plant, seat	V
2504	прои'грывать	lose, play	V
2505	всео'бщий	universal, all-out	A
2506	наси'лие	violence	Nn
2507	кула'к	fist	Nm
2508	закла'дывать	put, turn in	V
2509	жест	gesture	Nm
2510	кто-нибу'дь	anybody, somebody	P
2511	исхо'дный	initial, starting, original	A
2512	англича'нин	Englishman	Nm
2513	расходи'ться	disperse, leave	V
2514	фи'зика	physics	Nf
2515	ка'рточка	card	Nf
2516	брига'да	brigade, team	Nf
2517	обслу'живание	service	Nn
2518	спасе'ние	saving, rescue	Nn
2519	лаборато'рия	laboratory	Nf
2520	дешёвый	cheap	A
2521	ка'пля	drop	Nf
2522	прикрыва'ть	cover, shut, close (partly)	V
2523	непосре'дственный	direct, spontaneous	A
2524	па'спорт	passport	Nm
2525	по'лка	shelf	Nf
2526	ги'бель	death	Nf
2527	подозрева'ть	suspect	V
2528	вы'зов	call	Nm
2529	дар	gift	Nm
2530	протоко'л	protocol, report	Nm
2531	акти'вность	activity	Nf
2532	выбра'сывать	throw away, throw out	V
2533	рекоменда'ция	advice, recommendation,  reference	Nf
2534	ро'вно	exactly, evenly	Adv
2535	объявле'ние	advertisement,  announcement	Nn
2536	лека'рство	medicine	Nn
2537	докла'дывать	report	V
2538	достава'ться	get, received	V
2539	посёлок	village	Nm
2540	го'рный	mountain	A
2541	максима'льный	maximum	A
2542	полчаса'	half an hour	Nm
2543	успока'ивать	calm, pacify	V
2544	отка'зывать	refuse	V
2545	выска'зывание	statement, remark	Nn
2546	карье'ра	career	Nf
2547	отдыха'ть	rest	V
2548	лови'ть	catch	V
2549	замеча'ние	remark, comment	Nn
2550	несомне'нно	undoubtedly	Adv
2551	моро'з	frost	Nm
2552	альбо'м	album	Nm
2553	вокза'л	station	Nm
2554	справедли'вость	justice	Nf
2555	страда'ние	suffering	Nn
2556	шар	ball	Nm
2557	поли'тик	politician	Nm
2558	вооружённый	armed	A
2559	станда'ртный	standard	A
2560	запи'ска	note	Nf
2561	нере'дко	often	Adv
2562	ко'ротко	short(ly)	Adv
2563	одино'кий	lonely	A
2564	да'ча	summer home, dacha	Nf
2565	осуществле'ние	implementation	Nn
2566	разбира'ть	dismantle, sort out, analyse,  treat	V
2567	бормота'ть	mumble	V
2568	ко'смос	space	Nm
2569	изде'лие	product	Nn
2570	гара'нтия	guarantee, warranty	Nf
2571	избавля'ться	get rid of	V
2572	парти'йный	party	A
2573	противоре'чие	contradiction	Nn
2574	обяза'тельство	obligation	Nn
2575	отню'дь	nowhere near, by no means	Adv
2576	не'рвный	nervous	A
2577	помеща'ть	put, place	V
2578	моги'ла	grave	Nf
2579	освеща'ть	illuminate	V
2580	ору'дие	tool, instrument, gun, cannon	Nn
2581	миг	instant, moment	Nm
2582	подъе'зд	entrance	Nm
2583	тест	test	Nm
2584	воева'ть	fight	V
2585	скро'мный	modest	A
2586	украи'нский	Ukrainian	A
2587	груз	load, cargo	Nm
2588	заме'тный	noticeable	A
2589	пятно'	spot, mark	Nn
2590	коммуни'ст	communist	Nm
2591	таска'ть	pull, drag, lug	V
2592	ско'рый	quick, express	A
2593	инстру'кция	instructions, manual	Nf
2594	воображе'ние	imagination	Nn
2595	двена'дцать	twelve	Num
2596	пу'ля	bullet	Nf
2597	гру'бый	rude, coarse	A
2598	веле'ть	order, tell	V
2599	построе'ние	building, creating	Nn
2600	охо'та	hunting	Nf
2601	минима'льный	minimum, minimal	A
2602	проявля'ть	show	V
2603	глоба'льный	global	A
2604	разнообра'зный	various	A
2605	кафе'	café	Nn
2606	по'чва	soil	Nf
2607	надёжный	reliable	A
2608	де'йствующий	existing, active	A
2609	интересова'ться	be interested in	V
2610	би'тва	battle	Nf
2611	факульте'т	faculty	Nm
2612	мето'дика	methodology, method	Nf
2613	стихотворе'ние	poem	Nn
2614	окружа'ть	surround	V
2615	сбо'рник	collection	Nm
2616	разве'дка	reconnaissance, surveillance	Nf
2617	куст	bush	Nm
2618	хо'лод	cold	Nm
2619	опра'вдывать	acquit, justify	V
2620	сза'ди	behind, from behind	Adv
2621	одино'чество	loneliness	Nn
2622	фанта'зия	fantasy, imagination	Nf
2623	сове'товать	advise	V
2624	произво'дственный	production	A
2625	плюс	plus, advantage	C
2626	осма'тривать	inspect	V
2627	ми'на	mine, bomb, look, expression	Nf
2628	уще'рб	damage	Nm
2629	отве'тственный	responsible	A
2630	волк	wolf	Nm
2631	поясня'ть	clarify, explain	V
2632	незнако'мый	unfamiliar, strange	A
2633	мо'крый	wet	A
2634	важне'йший	most important	A
